word|Sub|emotion
aseguré|Impotente|Tristeza
aseguren|Impotente|Tristeza
aseguro|Impotente|Tristeza
asesoramiento|Decepcionado|Tristeza
asesorar|Decepcionado|Tristeza
asesorara|Decepcionado|Tristeza
asesorarla|Decepcionado|Tristeza
asesorarle|Decepcionado|Tristeza
asesorarlo|Decepcionado|Tristeza
asesorarlos|Decepcionado|Tristeza
asesoraron|Decepcionado|Tristeza
asesorarse|Decepcionado|Tristeza
asesoras|Decepcionado|Tristeza
asesore|Decepcionado|Tristeza
asesoré|Decepcionado|Tristeza
asesoren|Decepcionado|Tristeza
asistencia|Entusiasmado|Alegría
asistente|Esperanza|Confianza
asociación|Franqueza|Confianza
asociar|Seguridad|Confianza
asombro|Impresión|Sorpresa
asustado|Angustiado|Miedo
atención|Tranquilo|Alegría
atender|Esperanza|Confianza
atendido|Seguridad|Confianza
atento|Fe|Confianza
atrasado|Desafortunado|Enfado
atrasos|Desfavorable|Enfado
atrevimiento|Impresión|Sorpresa
ausencia|Desfavorable|Enfado
autenticación|Esperanza|Confianza
autenticidad|Fascinado|Alegría
autorizado|Esperanza|Confianza
autorizar|Determinación|Confianza
avance|Insatisfecho|Enfado
avancemos|Insatisfecho|Enfado
avances|Insatisfecho|Enfado
avanza|Insatisfecho|Enfado
avanzada|Insatisfecho|Enfado
avanzado|Entusiasmado|Alegría
avanzamos|Insatisfecho|Enfado
avanzando|Insatisfecho|Enfado
avanzar|Confusión|Sorpresa
avanzará|Insatisfecho|Enfado
avanzó|Insatisfecho|Enfado
averigua|Confuso|Miedo
averiguación|Confuso|Miedo
averiguamos|Confuso|Miedo
averiguando|Confuso|Miedo
averiguar|Extrañeza|Sorpresa
averiguarle|Confuso|Miedo
averiguarlo|Confuso|Miedo
averigüe|Confuso|Miedo
averiguo|Confuso|Miedo
averiguó|Confuso|Miedo
ayuda|Complacido|Alegría
ayudando|Fascinado|Alegría
ayudó|Fascinado|Alegría
ayudar|Fe|Confianza
banco|Seguridad|Confianza
barato|Fascinado|Alegría
beneficio|Encantado|Alegría
bienvenida|Satisfecho|Alegría
bloqueo|Decepcionado|Tristeza
bruto|Descontento|Enfado
bueno|Contento|Alegría
buscar|Admiración|Sorpresa
búsqueda|Extrañeza|Sorpresa
cable|Confusión|Sorpresa
caída|Desafortunado|Enfado
caído|Perjudicial|Enfado
calamidad|Frustrado|Tristeza
calamidades|Frustrado|Tristeza
cancelado|Desfavorable|Enfado
cancelando|Molestia|Enfado
cancelar|Desfavorable|Enfado
cancele|Desfavorable|Enfado
cancerlar|Molesto|Enfado
caos|molesto|Enfado
capacidad|Complacido|Alegría
capacidades|Descontento|Enfado
capacitada|Descontento|Enfado
capacitado|Descontento|Enfado
capacitando|Descontento|Enfado
capricho|Adverso|Enfado
castigar|Angustiado|Miedo
castigo|Adverso|Enfado
catástrofe|Pánico|Miedo
cayó|Adverso|Enfado
ceder|Hostil|Enfado
certeza|Fascinado|Alegría
certificar|Fe|Confianza
citación|Hostil|Enfado
cliente|Tranquilo|Alegría
cobra|Desesperado|Miedo
cobrándole|Insatisfecho|Enfado
cobrándolo|Insatisfecho|Enfado
cobrándose|Insatisfecho|Enfado
cobranza|Insatisfecho|Enfado
cobranzas|Insatisfecho|Enfado
cobrar|Insatisfecho|Enfado
cobrara|Insatisfecho|Enfado
cobrará|Insatisfecho|Enfado
cobrarán|Pánico|Miedo
cobraría|Insatisfecho|Enfado
cobrarían|Insatisfecho|Enfado
cobrarla|Insatisfecho|Enfado
cobrarle|Insatisfecho|Enfado
cobrarme|Insatisfecho|Enfado
cobrarnos|Insatisfecho|Enfado
cobraron|Insatisfecho|Enfado
cobre|Insatisfecho|Enfado
cobren|Insatisfecho|Enfado
cobro|Pánico|Miedo
cobró|Insatisfecho|Enfado
cobros|molesto|Enfado
coherencia|Entusiasmado|Alegría
coherente|Fascinado|Alegría
colaboraban|Confuso|Miedo
colaboralre|Confuso|Miedo
colaboran|Confuso|Miedo
colaborando|Confuso|Miedo
colaborara|Confuso|Miedo
colaboraran|Confuso|Miedo
colaboraras|Confuso|Miedo
colabores|Confuso|Miedo
colapso|Descontento|Enfado
comodidad|Complacido|Alegría
compacto|Fe|Confianza
compañero|Confiado|Alegría
compatible|Encantado|Alegría
compensación|Entusiasmado|Alegría
compensar|Agradecido|Alegría
completamente|Esperanza|Confianza
comprendiendo|insatisfecho|Enfado
comprendió|insatisfecho|Enfado
comprensible|insatisfecho|Enfado
comprensión|Esperanza|Confianza
comprometan|Frustrado|Tristeza
compromete|Agobiado|Tristeza
comprometemos|Frustrado|Tristeza
comprometen|Frustrado|Tristeza
comprometerme|Frustrado|Tristeza
comprometernos|Frustrado|Tristeza
comprometía|Frustrado|Tristeza
comprometida|Frustrado|Tristeza
comprometido|Feliz|Alegría
comprometidos|Frustrado|Tristeza
comprometiendo|Frustrado|Tristeza
comprometiera|Frustrado|Tristeza
comprometieron|Frustrado|Tristeza
comprometimos|Frustrado|Tristeza
comprometio|Frustrado|Tristeza
comprometió|Frustrado|Tristeza
comprometo|Frustrado|Tristeza
compromiso|Desfavorable|Enfado
comunicación|Seguridad|Confianza
comunicar|Franqueza|Confianza
comunidad|Fascinado|Alegría
conceder|Tranquilo|Alegría
concedido|Entusiasmado|Alegría
condición|Determinación|Confianza
confiabilidad|Franqueza|Confianza
confianza|Fe|Confianza
confiar|Fe|Confianza
conflicto|Alarmado|Miedo
conformidad|Esperanza|Confianza
confrontando|Enojado|Enfado
confrontar|Enojado|Enfado
confrontaron|Enojado|Enfado
confronto|Enojado|Enfado
confrontó|Enojado|Enfado
confunda|Confuso|Miedo
confunden|Confuso|Miedo
confundí|Confuso|Miedo
confundidas|Confuso|Miedo
confundido|Confuso|Miedo
confundidos|Confuso|Miedo
confundiendo|Confuso|Miedo
confundieron|Confuso|Miedo
confundió|Confuso|Miedo
confundir|Adverso|Enfado
confundisrse|Confuso|Miedo
confusa|Confuso|Miedo
confusas|Confuso|Miedo
confusión|Angustiado|Miedo
confusiones|Confuso|Miedo
congestión|Perjudicial|Enfado
consecuencia|Enojado|Enfado
consecuencias|Enojado|Enfado
consecuendia|Enojado|Enfado
consecuenia|Enojado|Enfado
consejo|Franqueza|Confianza
considerable|Tranquilo|Alegría
consideración|Fascinado|Alegría
considerado|Seguridad|Confianza
consistencia|Complacido|Alegría
constancia|Seguridad|Confianza
constantemente|Franqueza|Confianza
consultar|Fe|Confianza
consuma|Confuso|Miedo
consuman|Confuso|Miedo
consume|Confuso|Miedo
consumen|Confuso|Miedo
consumepara|Confuso|Miedo
consumes|Confuso|Miedo
consumía|Confuso|Miedo
consumida|Confuso|Miedo
consumidas|Confuso|Miedo
consumido|Confuso|Miedo
consumidor|Confuso|Miedo
consumidores|Confuso|Miedo
consumidos|Confuso|Miedo
consumiendo|Confuso|Miedo
consumieran|Confuso|Miedo
consumieron|Confuso|Miedo
consumimos|Confuso|Miedo
consumio|Confuso|Miedo
consumió|Confuso|Miedo
consumir|Confuso|Miedo
consumiría|Confuso|Miedo
consumnos|Confuso|Miedo
consumó|Confuso|Miedo
contadores|Pánico|Miedo
contaminación|Desagrado|Enfado
contar|Esperanza|Confianza
contener|Descontento|Enfado
contenido|Esperanza|Confianza
contento|Agradecido|Alegría
contrabando|Hostil|Enfado
convenido|Determinación|Confianza
conveniente|Confiado|Alegría
convertir|Tranquilo|Alegría
correctamente|Entusiasmado|Alegría
cortar|Adverso|Enfado
crediticia|Pánico|Miedo
crédito|Pánico|Miedo
créditos|Pánico|Miedo
cree|fe|Confianza
creemos|fe|Confianza
creen|fe|Confianza
creeo|fe|Confianza
creer|fe|Confianza
creería|fe|Confianza
creerías|fe|Confianza
crees|fe|Confianza
creí|fe|Confianza
creyendo|Determinación|Confianza
crisis|Desafortunado|Enfado
crítica|Perjudicial|Enfado
críticas|Pánico|Miedo
criticidad|Pánico|Miedo
crítico|Pánico|Miedo
criticos|Pánico|Miedo
críticos|Pánico|Miedo
crónica|Tranquilo|Alegría
cubrir|Seguridad|Confianza
culminación|Entusiasmado|Alegría
culpa|Desfavorable|Enfado
culpabilidad|Hostil|Enfado
cumplimiento|Franqueza|Confianza
cumplir|Alegre|Alegría
cuota|Adverso|Enfado
daña|Molestia|Enfado
dañada|Molestia|Enfado
dañadas|Molestia|Enfado
dañado|Molestia|Enfado
dañados|Molestia|Enfado
dañan|Molestia|Enfado
dañando|Molestia|Enfado
dañar|molesto|Enfado
dañara|Molestia|Enfado
dañaran|Molestia|Enfado
dañaría|Molestia|Enfado
dañarlas|Molestia|Enfado
dañarlo|Molestia|Enfado
dañaron|Molestia|Enfado
dañe|Molestia|Enfado
dañen|Molestia|Enfado
daño|Perjudicial|Enfado
dañó|Molestia|Enfado
daños|Molestia|Enfado
deberes|Desesperado|Miedo
débil|Enfado|Enfado
debilitado|Hostil|Enfado
declaración|Determinación|Confianza
deducir|Hostil|Enfado
defecto|Perjudicial|Enfado
defectuoso|Perjudicial|Enfado
defender|Encantado|Alegría
defensa|Franqueza|Confianza
deficiencia|Desafortunado|Enfado
definitivo|Fe|Confianza
dejar|Adverso|Enfado
delegar|Fe|Confianza
delito|Adverso|Enfado
demanda|Perjudicial|Enfado
demandable|Furioso|Enfado
demandada|Furioso|Enfado
demandado|Furioso|Enfado
demandan|Furioso|Enfado
demandar|Desfavorable|Enfado
demandarlos|Furioso|Enfado
demandarme|Furioso|Enfado
demandas|Furioso|Enfado
demanden|Enojado|Enfado
demando|Enojado|Enfado
demolición|Desfavorable|Enfado
demora|Molestia|Enfado
demoraba|Molestia|Enfado
demorada|Molestia|Enfado
demorado|Molestia|Enfado
demorados|Molestia|Enfado
demoramos|Molestia|Enfado
demoran|Molestia|Enfado
demorar|Molestia|Enfado
demorara|Molestia|Enfado
demoraran|Molestia|Enfado
demorarán|Molestia|Enfado
demoraría|Molestia|Enfado
demorarnos|Molestia|Enfado
demoraron|Molestia|Enfado
demorarse|Molestia|Enfado
demoras|Molestia|Enfado
demoraste|Molestia|Enfado
demore|Molestia|Enfado
demoro|Molestia|Enfado
demoró|Molestia|Enfado
denuncia|Desfavorable|Enfado
denunciar|Desfavorable|Enfado
dependiente|Desafortunado|Enfado
desactivar|Desfavorable|Enfado
desacuerdo|Adverso|Enfado
desafortunado|Desfavorable|Enfado
desajuste|Desafortunado|Enfado
desalojo|Alarmado|Miedo
desastre|Pánico|Miedo
descarados|Molestia|Enfado
descarando|Molestia|Enfado
descararon|Molestia|Enfado
descarga|Hostil|Enfado
descenso|Hostil|Enfado
descompuesto|Decepcionado|Tristeza
descompuso|Decepcionado|Tristeza
desconectado|Desafortunado|Enfado
desconectar|Desafortunado|Enfado
desconexión|Adverso|Enfado
desconocido|Confusión|Sorpresa
descontento|Descontento|Enfado
descortés|Molestia|Enfado
descuido|Enfado|Enfado
desecho|Desafortunado|Enfado
desfavorable|Desagrado|Enfado
deshacer|Desfavorable|Enfado
designacion|Determinación|Confianza
desigualdad|Insatisfecho|Enfado
desistir|Desfavorable|Enfado
despeje|Tranquilo|Alegría
despido|Perjudicial|Enfado
desplazado|Aterrado|Miedo
desplegar|Admiración|Sorpresa
desprotegido|Desfavorable|Enfado
destinado|Admiración|Sorpresa
destino|Admiración|Sorpresa
destrozada|Desafortunado|Enfado
destrozado|Hostil|Enfado
destrucción|Desafortunado|Enfado
destruido|Desafortunado|Enfado
detección|Fascinado|Alegría
detectar|Complacido|Alegría
detener|Desfavorable|Enfado
deteriorado|Perjudicial|Enfado
deterioro|Perjudicial|Enfado
determinación|Esperanza|Confianza
determinado|Encantado|Alegría
deuda|Hostil|Enfado
deudor|Desafortunado|Enfado
devolución|Perjudicial|Enfado
diagnóstico|Franqueza|Confianza
diferencial|Esperanza|Confianza
difícil|Molestia|Enfado
dificultad|Desafortunado|Enfado
dificultades|Adverso|Enfado
diligencia|Seguridad|Confianza
dinero|Seguridad|Confianza
dineros|Molesto|Enfado
dirección|Seguridad|Confianza
direcciones|Tranquilo|Alegría
director|Esperanza|Confianza
discapacidad|Perjudicial|Enfado
discordia|Adverso|Enfado
discriminación|Adverso|Enfado
discriminar|Adverso|Enfado
disculpa|Fascinado|Alegría
discutir|Desfavorable|Enfado
disfrutando|Agradecido|Alegría
disfrutar|Satisfecho|Alegría
disminución|Hostil|Enfado
disminuido|Hostil|Enfado
disminuir|Apenado|Tristeza
disparo|Confuso|Miedo
distorsión|Perjudicial|Enfado
disturbios|Alarmado|Miedo
división|Desafortunado|Enfado
dolor|Perjudicial|Enfado
dominante|Desfavorable|Enfado
dominio|Determinación|Confianza
donación|Encantado|Alegría
dudar|inseguro|Miedo
dudas|inseguro|Miedo
dudé|inseguro|Miedo
duden|inseguro|Miedo
dudo|inseguro|Miedo
duplicidad|Adverso|Enfado
duro|Hostil|Enfado
economía|Franqueza|Confianza
económica|Entusiasmado|Alegría
económicamente|Entusiasmado|Alegría
económicas|Entusiasmado|Alegría
económico|Entusiasmado|Alegría
económicos|Entusiasmado|Alegría
educado|Complacido|Alegría
efectivo|Franqueza|Confianza
eficacia|Fascinado|Alegría
eficaz|Fe|Confianza
eficiencia|Tranquilo|Alegría
eficiente|Determinación|Confianza
ejecución|Hostil|Enfado
ejecutante|Tranquilo|Alegría
elección|Fascinado|Alegría
electricidad|Fascinado|Alegría
eléctrico|Extrañeza|Sorpresa
elevado|Adverso|Enfado
eliminación|Frustrado|Tristeza
emergencia|Pánico|Miedo
eminente|Tranquilo|Alegría
encontró|Satisfecho|Alegría
enemistad|Perjudicial|Enfado
Enfado|Enfado|Enfado
enfermo|Molestia|Enfado
enfermos|Perjudicial|Enfado
engañado|irritado|Enfado
enojado|Furioso|Enfado
enseñar|Seguridad|Confianza
enseñó|Esperanza|Confianza
enterrado|Confuso|Tristeza
enterrar|Desafortunado|Enfado
equidad|Encantado|Alegría
equilibrado|Complacido|Alegría
equilibrar|Encantado|Alegría
equilibrio|Fascinado|Alegría
equipo|Fe|Confianza
equivalente|Determinación|Confianza
equivocado|Confuso|Miedo
errónea|confuso|Miedo
erroneamente|confuso|Miedo
erróneamente|Perjudicial|Enfado
erróneas|confuso|Miedo
erróneo|Adverso|Enfado
error|Confuso|Tristeza
errores|confuso|Miedo
escombros|Molestia|Enfado
esencial|Fascinado|Alegría
esfuerzo|Fascinado|Alegría
esfuerzos|Hostil|Enfado
especial|Fascinado|Alegría
especialista|Determinación|Confianza
espectáculo|Entusiasmado|Alegría
esperanza|Esperanza|Confianza
esperar|Esperanza|Confianza
esquema|Desafortunado|Enfado
estable|Seguridad|Confianza
establecer|Determinación|Confianza
establecido|Animado|Alegría
estado|Complacido|Alegría
estética|Entusiasmado|Alegría
estético|Entusiasmado|Alegría
estragos|Hostil|Enfado
estrés|Adverso|Enfado
estudiar|Entusiasmado|Alegría
evadir|Perjudicial|Enfado
evaluación|Impresión|Sorpresa
eventual|Admiración|Sorpresa
eventualidad|Confuso|Miedo
evidente|Franqueza|Confianza
evitar|Confuso|Miedo
evolución|Entusiasmado|Alegría
exactitud|Franqueza|Confianza
exagerado|Perjudicial|Enfado
exceder|Impresión|Sorpresa
excelencia|Seguridad|Confianza
excelente|Franqueza|Confianza
excepcional|Encantado|Alegría
excesivo|Molestia|Enfado
exceso|Desafortunado|Enfado
excusa|Desafortunado|Enfado
exención|Encantado|Alegría
existencia|Tranquilo|Alegría
éxito|Encantado|Alegría
exitoso|Satisfecho|Alegría
expectativa|Admiración|Sorpresa
experto|Fe|Confianza
explicaciones|Enojado|Enfado
explique|Esperanza|Confianza
explosión|Pánico|Miedo
exponer|Asombro|Sorpresa
extendido|Encantado|Alegría
extenso|Encantado|Alegría
exterior|Entusiasmado|Alegría
extra|Fascinado|Alegría
extraño|Molestia|Enfado
extraordinario|Encantado|Alegría
extraviado|Perjudicial|Enfado
extremo|Desafortunado|Enfado
fácil|Desfavorable|Enfado
facilitar|Entusiasmado|Alegría
fácilmente|Fascinado|Alegría
facturaba|Confusión|Sorpresa
facturacíon|Confusión|Sorpresa
facturada|Confusión|Sorpresa
fácturado|Confusión|Sorpresa
facturándole|Confusión|Sorpresa
facturándolo|Confusión|Sorpresa
facturarán|Confusión|Sorpresa
facturas|Confusión|Sorpresa
falla|Adverso|Enfado
falsedad|Hostil|Enfado
falsificación|Adverso|Enfado
falta|Perjudicial|Enfado
falto|Desafortunado|Enfado
fatal|Desafortunado|Enfado
fatiga|Hostil|Enfado
favorable|Complacido|Alegría
felicidad|Feliz|Alegría
feliz|Complacido|Alegría
feo|Desagrado|Enfado
fila|Insatisfecho|Enfado
financiacion|Agobiado|Tristeza
financiación|Pánico|Miedo
financiar|Desafortunado|Enfado
financiera|Agobiado|Tristeza
flexible|Desafortunado|Enfado
flojo|Perjudicial|Enfado
fluctuación|Confuso|Miedo
fondo|Agobiado|Tristeza
forma|Entusiasmado|Alegría
formación|Complacido|Alegría
formalmente|Entusiasmado|Alegría
formativo|Determinación|Confianza
fórmula|Franqueza|Confianza
fortuna|Feliz|Alegría
forzado|Inseguro|Miedo
franco|Franqueza|Confianza
fundamental|Franqueza|Confianza
funeral|Decepcionado|Tristeza
furioso|Insatisfecho|Enfado
fusible|Tranquilo|Alegría
fusión|Encantado|Alegría
ganar|Fascinado|Alegría
garantía|Franqueza|Confianza
gastado|Adverso|Enfado
gastos|Adverso|Enfado
generadas|Insatisfecho|Enfado
generador|Alarmado|Miedo
generadores|Insatisfecho|Enfado
generados|Insatisfecho|Enfado
genial|Contento|Alegría
gestionar|Determinación|Confianza
gratuito|Molestia|Enfado
grave|irritado|Enfado
gravedad|Triste|Tristeza
graves|Enfado|Enfado
guía|Esperanza|Confianza
gusto|Animado|Alegría
hábil|Entusiasmado|Alegría
habilitación|Fe|Confianza
habla|Complacido|Alegría
hablar|Entusiasmado|Alegría
habló|Desfavorable|Enfado
hacer|Fascinado|Alegría
hecho|Esperanza|Confianza
hechos|Determinación|Confianza
honorable|Franqueza|Confianza
horrible|Furioso|Enfado
horror|Agresivo|Enfado
hurto|Enojado|Enfado
igualdad|Seguridad|Confianza
ilegal|Desagrado|Enfado
ilegalidad|Furioso|Enfado
iluminación|Esperanza|Confianza
iluminar|Complacido|Alegría
impaciente|Desconcierto|Sorpresa
implicar|Desfavorable|Enfado
importancia|Entusiasmado|Alegría
importante|Fe|Confianza
imposible|Hostil|Enfado
impresión|Encantado|Alegría
imprevisto|Asombro|Sorpresa
imprudente|Desafortunado|Enfado
impuesto|Desagrado|Enfado
impulso|Asombro|Sorpresa
inadecuada|Frustrado|Tristeza
inadecuadamente|Frustrado|Tristeza
inadecuadas|Frustrado|Tristeza
inadecuado|Frustrado|Tristeza
inauguración|Entusiasmado|Alegría
incapacidad|Desafortunado|Enfado
incesante|Desfavorable|Enfado
incidente|Confusión|Sorpresa
incluido|Complacido|Alegría
incluir|Complacido|Alegría
inclusión|Fe|Confianza
incluso|Complacido|Alegría
incómoda|Decepcionado|Tristeza
incómodas|Decepcionado|Tristeza
incomodidad|Frustrado|Tristeza
incómodo|Amargado|Tristeza
incompleto|Perjudicial|Enfado
inconcluso|Desfavorable|Enfado
inconforme|Descontento|Enfado
inconformes|Descontento|Enfado
inconformidades|Descontento|Enfado
inconformismo|Descontento|Enfado
incongruentes|Descontento|Enfado
inconsistencia|Descontento|Enfado
inconsistencias|Descontento|Enfado
inconsistente|Descontento|Enfado
inconsistentes|Descontento|Enfado
inconveniente|Descontento|Enfado
inconvenientes|Hostil|Enfado
incorrecto|Adverso|Enfado
increíble|Desafortunado|Enfado
incumpla|Decepcionado|Tristeza
incumple|Decepcionado|Tristeza
incumplen|Decepcionado|Tristeza
incumplida|Decepcionado|Tristeza
incumplidas|Decepcionado|Tristeza
incumplido|Decepcionado|Tristeza
incumpliendo|Molestia|Enfado
incumpliéndose|Decepcionado|Tristeza
incumpliera|Decepcionado|Tristeza
incumplieron|Decepcionado|Tristeza
incumplimento|Decepcionado|Tristeza
incumplimiento|Desafortunado|Enfado
incumplimientos|Decepcionado|Tristeza
incumplió|Decepcionado|Tristeza
incumplir|Decepcionado|Tristeza
incumpliría|Decepcionado|Tristeza
incursionando|Descontento|Enfado
indemnizar|Hostil|Enfado
independencia|Animado|Alegría
indeterminado|Desafortunado|Enfado
indignado|molesto|Enfado
indisponibilidad|Molestia|Enfado
indisponibilidaddes|Molestia|Enfado
inesperadamente|Admiración|Sorpresa
inesperado|Extrañeza|Sorpresa
inestabilidad|Angustiado|Miedo
inestable|Inseguro|Miedo
infantil|Enfado|Enfado
inferior|Decepcionado|Tristeza
inferiores|Decepcionado|Tristeza
infierno|Furioso|Enfado
inflación|Desafortunado|Enfado
influencia|Complacido|Alegría
influyente|Determinación|Confianza
información|Complacido|Alegría
informar|Seguridad|Confianza
infracción|Desfavorable|Enfado
infructuosa|Enfado|Enfado
infructuosamente|Enfado|Enfado
infructuoso|Triste|Tristeza
infructuosos|Enfado|Enfado
ingenio|Complacido|Alegría
ingresos|Contento|Alegría
inhabilitar|Desfavorable|Enfado
injusto|molesto|Enfado
inmediatamente|Adverso|Enfado
inminente|Asombro|Sorpresa
inquietud|Confusión|Sorpresa
insatisfacción|Perjudicial|Enfado
insatisfecho|Descontento|Enfado
inseguridad|Desesperado|Miedo
instrucción|Franqueza|Confianza
instrucciones|Fe|Confianza
insuficiente|Hostil|Enfado
insulto|Enfado|Enfado
integridad|Esperanza|Confianza
inteligente|Determinación|Confianza
intenso|Animado|Alegría
intentar|Franqueza|Confianza
interesado|Fascinado|Alegría
interesante|Tranquilo|Alegría
interferencia|Desfavorable|Enfado
interior|Seguridad|Confianza
interpretación|Hostil|Enfado
interrumpe|Confuso|Miedo
interrumpen|Confuso|Miedo
interrumpido|Confuso|Tristeza
interrumpidos|Confuso|Miedo
interrumpiendo|Confuso|Miedo
interrumpieron|Confuso|Miedo
interrumpió|Confuso|Miedo
interrumpir|Agresivo|Enfado
interrupción|Confuso|Miedo
interrupciones|Confuso|Miedo
interrupieron|Confuso|Miedo
intervención|Perjudicial|Enfado
invadir|Furioso|Enfado
invalida|Impotente|Tristeza
invalidada|Impotente|Tristeza
invalidez|Desfavorable|Enfado
invalido|Impotente|Tristeza
inválido|Impotente|Tristeza
invalidos|Impotente|Tristeza
invasión|Confuso|Miedo
investigar|Fascinado|Alegría
invitación|Alegre|Alegría
involuntariamente|Perjudicial|Enfado
involuntario|Desafortunado|Enfado
ira|irritado|Enfado
irrefutable|Determinación|Confianza
irregular|Desfavorable|Enfado
irreparable|Apenado|Tristeza
irrevocable|Hostil|Enfado
judicial|Admiración|Sorpresa
juego|Desconcierto|Sorpresa
juicio|Susto|Sorpresa
jurado|Seguridad|Confianza
jurídica|Confusión|Sorpresa
justa|Entusiasmado|Alegría
justicia|Fe|Confianza
justificación|Encantado|Alegría
justificar|Fe|Confianza
justo|Seguridad|Confianza
lamentablemente|Decepcionado|Tristeza
lanzamiento|Impresión|Sorpresa
lapso|Adverso|Enfado
láser|Seguridad|Confianza
lástima|Amargado|Tristeza
latente|Confusión|Sorpresa
lector|Complacido|Alegría
